Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
297,Air ,False,Air Force +40.5 L,2026-01-24,-139,105,104,10.9,spread,455.0,L,50,-455
298,Arizona ,False,Arizona -19.5 L,2026-01-24,-175,130,104,21.2,spread,297.5,W,63,309
299,Auburn ,True,Auburn o141.5 L,2026-01-24,100,-120,125,7.6,total,560.0,W,43,700
300,Binghamton ,False,Binghamton ml L,2026-01-24,294,-294,400,26.9,moneyline,122.5,L,33,-122
301,Boston ,False,Boston College +6.5 L,2026-01-24,102,-110,132,12.7,spread,367.5,W,47,485
302,Boston ,True,Boston Celtics u236.5 L,2026-01-24,-107,-109,123,11.0,total,980.0,W,108,1205
302,Boston ,True,Boston Celtics u232.5 L,2026-01-24,108,-136,133,6.0,total,735.0,W,44,977
303,Bowling ,False,Bowling Green +2.5 L,2026-01-24,-106,106,118,12.2,spread,262.5,W,32,309
304,Brown ,False,Brown ml L,2026-01-24,305,-450,255,-17.7,moneyline,175.0,L,-31,-175
305,Brown ,True,Brown o131.5 L,2026-01-24,-111,111,-111,0.0,total,350.0,L,0,-350
305,Brown ,True,Brown u111.5 L,2026-01-24,-124,100,106,8.2,total,280.0,L,23,-280
306,California ,True,California u148.5 L,2026-01-24,-122,-108,114,10.0,total,262.5,W,26,299
307,Campbell ,False,Campbell ml L,2026-01-24,100,-125,128,8.0,moneyline,367.5,L,29,-367
308,Central ,False,Central Michigan +2.5 L,2026-01-24,-125,-105,120,14.5,spread,402.5,L,58,-402
309,Charlotte ,False,Charlotte Hornets -12.5 L,2026-01-24,-127,108,-104,5.5,spread,2537.5,L,140,-2537
309,Charlotte ,False,Charlotte Hornets -11.5 L,2026-01-24,-162,121,-109,10.7,spread,2100.0,L,225,-2100
309,Charlotte ,False,Charlotte Hornets -12.5 L,2026-01-24,-133,108,104,10.7,spread,2370.9,L,254,-2370
310,Chicago ,False,Chicago Bulls +1.5 L,2026-01-24,-171,137,-134,4.6,spread,2100.0,W,97,1567
311,Clemson ,True,Clemson u140.5 L,2026-01-24,100,-130,118,2.3,total,262.5,W,6,309
311,Clemson ,True,Clemson u142.5 L,2026-01-24,-111,-120,114,5.1,total,262.5,W,13,299
312,Cleveland ,True,Cleveland Cavaliers u218.5 L,2026-01-24,109,-137,143,10.0,total,840.0,L,84,-840
313,Colgate ,False,Colgate ml L,2026-01-24,198,-240,255,14.4,moneyline,175.0,W,25,446
314,Columbia ,False,Columbia ml L,2026-01-24,125,-165,180,16.6,moneyline,262.5,W,44,472
315,Davidson ,False,Davidson ml L,2026-01-24,312,-389,550,52.0,moneyline,87.5,L,46,-87
315,Davidson ,False,Davidson +8.5 L,2026-01-24,-200,200,110,40.0,spread,437.5,W,175,481
315,Davidson ,False,Davidson +3.5 L,2026-01-24,-176,129,-108,14.3,spread,507.5,L,73,-507
316,Dayton ,True,Dayton o150.5 L,2026-01-24,-150,104,107,13.9,total,280.0,W,39,299
317,Drake ,False,Drake -9.5 L,2026-01-24,-188,137,-103,19.7,spread,315.0,W,62,305
317,Drake ,False,Drake -10.5 L,2026-01-24,-124,101,108,9.5,spread,280.0,W,27,302
318,Eastern ,False,Eastern Kentucky ml L,2026-01-24,325,-490,600,54.5,moneyline,70.0,L,38,-70
319,Elon ,False,Elon ml L,2026-01-24,188,-255,260,17.3,moneyline,175.0,L,30,-175
320,Florida ,False,Florida ml L,2026-01-24,-260,187,-167,7.8,moneyline,805.0,L,63,-805
320,Florida ,False,Florida +3.5 L,2026-01-24,-121,-114,135,19.1,spread,245.0,L,47,-245
320,Florida ,False,Florida +3.5 L,2026-01-24,128,-104,132,7.3,spread,1190.0,L,87,-1190
320,Florida ,False,Florida State +8.5 L,2026-01-24,-155,114,-103,11.4,spread,507.5,W,58,492
320,Florida ,False,Florida ml L,2026-01-24,-128,100,116,14.2,spread,1400.0,L,199,-1400
321,Florida ,True,Florida State u160.5 L,2026-01-24,100,-100,108,4.0,total,280.0,L,11,-280
322,Georgia ,False,Georgia State ml L,2026-01-24,138,-179,170,6.8,moneyline,280.0,W,19,476
323,Georgia ,True,Georgia u155.5 L,2026-01-24,-130,102,125,19.9,total,245.0,W,49,306
324,Grand ,False,Grand Canyon -3.5 L,2026-01-24,-120,-107,100,2.7,spread,490.0,W,13,490
325,Houston ,True,Houston u179.5 L,2026-01-24,180,-180,180,0.0,total,175.0,W,0,315
325,Houston ,True,Houston o182.5 L,2026-01-24,-112,-118,123,10.1,total,245.0,L,25,-245
326,Indiana ,False,Indiana State +1.5 L,2026-01-24,-110,100,112,8.5,spread,297.5,L,25,-297
327,Iona ,False,Iona -9.5 L,2026-01-24,-113,113,-113,0.0,spread,420.0,L,0,-420
328,Jacksonville ,False,Jacksonville ml L,2026-01-24,162,-220,185,1.7,moneyline,262.5,W,4,485
329,Kent ,False,Kent State ml L,2026-01-24,-188,146,-132,8.3,moneyline,630.0,W,52,477
329,Kent ,False,Kent State ml L,2026-01-24,-174,136,-115,12.1,moneyline,560.0,W,68,486
329,Kent ,False,Kent State ml L,2026-01-24,116,-162,185,22.0,moneyline,262.5,W,58,485
330,Kentucky ,False,Kentucky -7.5 L,2026-01-24,-113,-102,118,11.7,spread,262.5,W,31,309
331,Lafayette ,False,Lafayette +2.5 L,2026-01-24,-125,-105,117,12.9,spread,402.5,L,52,-402
331,Lafayette ,False,Lafayette ml L,2026-01-24,315,-315,400,20.5,moneyline,122.5,L,25,-122
332,LSU ,True,LSU o167.5 L,2026-01-24,-110,-120,143,19.0,total,685.3,L,130,-685
333,Manhattan ,True,Manhattan o119.5 L,2026-01-24,-108,108,112,10.1,total,280.0,W,28,313
334,Maryland ,False,Maryland +41.5 L,2026-01-24,104,-104,123,9.3,spread,245.0,L,23,-245
334,Maryland ,False,Maryland +42.5 L,2026-01-24,116,-116,116,0.0,spread,262.5,L,0,-262
335,Memphis ,False,Memphis +16.5 L,2026-01-24,-171,113,114,22.7,spread,420.0,W,95,478
335,Memphis ,False,Memphis +14.5 L,2026-01-24,-280,200,-156,13.0,spread,752.5,L,98,-752
336,Mercer ,False,Mercer +2.5 L,2026-01-24,-140,114,100,11.0,spread,315.0,L,35,-315
337,Miami ,False,Miami Florida -10.5 L,2026-01-24,-110,-121,125,10.0,spread,245.0,L,24,-245
338,Michigan ,False,Michigan State -27.5 L,2026-01-24,-115,-115,120,10.0,spread,262.5,W,26,315
338,Michigan ,False,Michigan State -28.5 L,2026-01-24,-109,-126,128,10.2,spread,245.0,W,25,313
338,Michigan ,False,Michigan State -30.5 L,2026-01-24,-110,-126,130,11.4,spread,227.5,W,26,295
339,Milwaukee ,False,Milwaukee ml L,2026-01-24,138,-182,190,14.4,moneyline,245.0,W,35,465
340,Missouri ,False,Missouri State ml L,2026-01-24,-104,-125,123,6.7,moneyline,420.0,W,28,516
341,Montana ,False,Montana State ml L,2026-01-24,-190,190,-133,14.8,moneyline,647.5,W,96,486
342,North ,False,North Carolina -2.5 L,2026-01-24,-130,-102,110,10.9,spread,280.0,W,31,308
343,Northern ,False,Northern Iowa -9.5 L,2026-01-24,-137,-105,112,12.4,spread,280.0,L,35,-280
343,Northern ,False,Northern Iowa ml L,2026-01-24,-265,269,-192,10.7,moneyline,945.0,W,101,492
344,Oklahoma ,True,Oklahoma o152.5 L,2026-01-24,-114,-101,112,9.1,total,280.0,W,25,313
345,Ole ,False,Ole Miss ml L,2026-01-24,246,-356,480,56.7,moneyline,87.5,L,50,-87
346,Orlando ,False,Orlando Magic 2q ml L,2026-01-24,164,-213,280,35.9,2q moneyline,315.0,L,113,-315
347,Princeton ,False,Princeton -7.5 L,2026-01-24,-135,100,108,11.2,spread,280.0,W,31,302
348,Providence ,False,Providence ml L,2026-01-24,-111,-105,105,3.9,moneyline,455.0,L,18,-455
349,Seattle ,False,Seattle +6.5 L,2026-01-24,-114,-114,116,8.0,spread,420.0,W,34,487
350,South ,False,South Carolina +31.5 L,2026-01-24,-127,-104,117,13.5,spread,262.5,W,35,307
351,South ,True,South Carolina u151.5 L,2026-01-24,-120,-110,123,13.8,total,245.0,L,34,-245
351,South ,True,South Carolina u161.5 L,2026-01-24,-154,116,-108,9.2,total,332.5,W,31,307
352,St. ,False,St. John's -0.5 L,2026-01-24,-137,-101,112,13.4,spread,280.0,W,38,313
353,St. ,True,St. John's u169.5 L,2026-01-24,-112,-123,128,11.5,total,245.0,L,28,-245
354,Stephen ,False,Stephen F. Austin ml L,2026-01-24,-211,211,-133,18.9,moneyline,857.5,W,162,644
355,Syracuse ,False,Syracuse +3.5 L,2026-01-24,-117,101,118,13.4,spread,262.5,L,35,-262
356,TCU ,True,TCU u157.5 L,2026-01-24,-133,-101,123,18.6,total,245.0,L,46,-245
356,TCU ,True,TCU o153.5 L,2026-01-24,-170,122,102,17.8,total,297.5,W,53,303
357,Temple ,True,Temple o133.5 L,2026-01-24,-105,-125,120,5.5,total,262.5,W,14,315
358,Texas ,False,Texas Tech ml L,2026-01-24,140,-163,175,10.6,moneyline,280.0,W,30,490
359,Texas ,True,Texas State u148.5 L,2026-01-24,-127,-104,120,15.1,total,262.5,W,40,315
360,Toledo ,False,Toledo ml L,2026-01-24,200,-265,255,11.7,moneyline,175.0,W,20,446
361,Towson ,True,Towson o148.5 L,2026-01-24,-106,-139,-105,-8.4,total,332.5,W,-28,316
362,Tulsa ,True,Tulsa o154.5 L,2026-01-24,105,-105,118,6.3,total,262.5,W,17,309
362,Tulsa ,True,Tulsa o158.5 L,2026-01-24,-120,-110,120,12.2,total,262.5,W,32,315
