Unique Bet Rule 1,Team,Total?,Unnamed: 3,Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,Unnamed: 16,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore.1,CloseEdge,Trueline,Net,ExpWinPlace,Date.1,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
1,Pistons ,0,2024-10,Pistons +30.5 L,FWmb,2024-10-26,-1400,630,-500,0.04641638225255979,0.03868031854379983,-681.3333333333339,1.2,14640.053215472151,NBA,spread,,,2000.0,,W,,,,,,400.0,92.83276450511958,2024-10-26,46669.754470769774,26562.81153333334,126162.81153333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pistons ,0,2024-10,Pistons +32.5 L,FWmb,2024-10-26,-1450,640,-480,0.05581568946796954,0.046192294732112726,-692.2580645161294,1.2083333333333333,16954.057408170458,NBA,spread,,,1933.0,,W,,,,,,402.71,107.89172774158511,2024-10-26,46777.64619851136,26965.52153333334,126562.81153333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pistons ,0,2024-10,Pistons +29.5 L,FWmb,2024-10-26,-750,430,-278,0.12017743318298732,0.08838446144145629,-467.64705882352956,1.3597122302158273,21209.162768055277,NBA,spread,,,1068.25,,W,,,,,,384.26,128.3795429977262,2024-10-26,46906.02574150908,27349.78153333334,126965.52153333335,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clippers ,0,2024-10,Clippers ml L,FWmb,2024-10-31,-199,169,-165,0.030480640325901573,0.018978511901033057,-179.03344481605345,1.606060606060606,3090.1687589377157,NBA,moneyline,,,1337.95,1337.95,L,,,,,,-1337.95,40.78157272404001,2024-10-31,53282.98049179983,21548.546533333345,122886.49653333338,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clippers ,0,2024-10,Clippers ml L,BRmb,2024-10-31,-259,198,-200,0.023796890751843935,0.015864593834562624,-214.99164345403906,1.5,2892.4774828991535,NBA,moneyline,,,500.0,500.0,L,,,,,,-500.0,11.898445375921968,2024-10-31,53294.87893717575,21048.546533333345,121548.54653333339,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rockets ,0,2024-10,Rockets -8 L,FWmb,2024-10-31,-119,-106,123,0.14537001340931927,0.06518834682032254,-105.60006892392518,2.23,7204.489498504764,NBA,spread,,,442.355,442.355,L,,,,,,-442.355,64.30515228167943,2024-10-31,53099.1153520248,21474.426533333346,121916.78153333337,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rockets ,0,2024-10,Rockets -5 L,FWmb,2024-10-31,-119,-104,110,0.08347360367253262,0.03974933508215839,-106.58587987355111,2.1,4609.049153087114,NBA,spread,,,450.0,450.0,W,,,,,,495.0,37.56312165263968,2024-10-31,53136.678473677435,21969.426533333346,121474.42653333338,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rockets ,0,2024-10,Rockets -5.5 L,FWmb,2024-10-31,-105,-115,118,0.0663813651137595,0.030450167483375923,104.4296788482835,2.1799999999999997,3430.719082807233,NBA,spread,,,450.0,450.0,W,,,,,,531.0,29.871614301191777,2024-10-31,53166.55008797863,22500.426533333346,121969.42653333338,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rockets ,0,2024-10,Rockets -6 L,FWmb,2024-10-31,108,-133,140,0.09724511419825763,0.04051879758260735,118.72961373390557,2.4,4254.488559846169,NBA,spread,,,450.0,450.0,P,,,,,,0.0,43.76030138921593,2024-10-31,53210.31038936784,22500.426533333346,122500.42653333338,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rockets ,0,2024-10,Rockets -3 L,BRmb,2024-10-31,-130,105,102,0.08424974823766375,0.04170779615725928,-115.86956521739133,2.02,5059.132399235177,NBA,spread,,,378.5,378.5,W,,,,,,386.07,31.88852970795573,2024-10-31,53242.198919075796,22886.496533333346,122500.42653333338,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
