Group,Bucket,Bets,Wins,Win%,Staked,ExpProfit,Profit,ExpROI%,ROI%
Odds Band,-150 to -100,46.0,26.0,56.5,46.0,4.05,2.51,8.8,5.5
Odds Band,+100 to +150,181.0,88.0,48.6,181.0,18.74,11.36,10.4,6.3
Odds Band,+151 to +300,34.0,13.0,38.2,34.0,4.91,4.65,14.4,13.7
,,,,,,,,,
Edge Band,0-5%,18.0,10.0,55.6,18.0,0.62,3.74,3.4,20.8
Edge Band,5-10%,83.0,43.0,51.8,83.0,7.08,8.98,8.5,10.8
Edge Band,10-15%,97.0,52.0,53.6,97.0,11.72,19.1,12.1,19.7
Edge Band,15%+,45.0,13.0,28.9,45.0,9.1,-14.61,20.2,-32.5
,,,,,,,,,
Bet Type,moneyline,58.0,31.0,53.4,58.0,6.91,12.37,11.9,21.3
Bet Type,spread,110.0,49.0,44.5,110.0,11.69,-4.66,10.6,-4.2
Bet Type,total,91.0,47.0,51.6,91.0,8.74,12.81,9.6,14.1
,,,,,,,,,
Grand Total,All,261.0,127.0,48.7,261.0,27.7,18.52,10.6,7.1
