Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
297,Air ,False,Air Force +40.5 L,2026-01-24,-139,105,104,10.9,spread,455.0,L,-455
298,Arizona ,False,Arizona -19.5 L,2026-01-24,-175,130,104,21.2,spread,297.5,W,309
299,Auburn ,True,Auburn o141.5 L,2026-01-24,100,-120,125,7.6,total,560.0,W,700
300,Binghamton ,False,Binghamton ml L,2026-01-24,294,-294,400,26.9,moneyline,122.5,L,-122
301,Boston ,False,Boston College +6.5 L,2026-01-24,102,-110,132,12.7,spread,367.5,W,485
302,Boston ,True,Boston Celtics u236.5 L,2026-01-24,0,-122,128,8.5,total,1715.0,W,2182
303,Bowling ,False,Bowling Green +2.5 L,2026-01-24,-106,106,118,12.2,spread,262.5,W,309
304,Brown ,False,Brown ml L,2026-01-24,305,-450,255,-17.7,moneyline,175.0,L,-175
305,Brown ,True,Brown o131.5 L,2026-01-24,-117,105,-2,4.1,total,630.0,L,-630
306,California ,True,California u148.5 L,2026-01-24,-122,-108,114,10.0,total,262.5,W,299
307,Campbell ,False,Campbell ml L,2026-01-24,100,-125,128,8.0,moneyline,367.5,L,-367
308,Central ,False,Central Michigan +2.5 L,2026-01-24,-125,-105,120,14.5,spread,402.5,L,-402
309,Charlotte ,False,Charlotte Hornets -12.5 L,2026-01-24,-133,108,-104,10.7,spread,7008.4,L,-7007
310,Chicago ,False,Chicago Bulls +1.5 L,2026-01-24,-171,137,-134,4.6,spread,2100.0,W,1567
311,Clemson ,True,Clemson u140.5 L,2026-01-24,-5,-125,116,3.7,total,525.0,W,608
312,Cleveland ,True,Cleveland Cavaliers u218.5 L,2026-01-24,109,-137,143,10.0,total,840.0,L,-840
313,Colgate ,False,Colgate ml L,2026-01-24,198,-240,255,14.4,moneyline,175.0,W,446
314,Columbia ,False,Columbia ml L,2026-01-24,125,-165,180,16.6,moneyline,262.5,W,472
315,Davidson ,False,Davidson ml L,2026-01-24,-176,129,110,40.0,moneyline,1032.5,mix,-113
316,Dayton ,True,Dayton o150.5 L,2026-01-24,-150,104,107,13.9,total,280.0,W,299
317,Drake ,False,Drake -9.5 L,2026-01-24,-156,119,2,14.6,spread,595.0,W,607
318,Eastern ,False,Eastern Kentucky ml L,2026-01-24,325,-490,600,54.5,moneyline,70.0,L,-70
319,Elon ,False,Elon ml L,2026-01-24,188,-255,260,17.3,moneyline,175.0,L,-175
320,Florida ,False,Florida ml L,2026-01-24,-128,100,116,11.4,moneyline,4147.5,mix,-3148
321,Florida ,True,Florida State u160.5 L,2026-01-24,100,-100,108,4.0,total,280.0,L,-280
322,Georgia ,False,Georgia State ml L,2026-01-24,138,-179,170,6.8,moneyline,280.0,W,476
323,Georgia ,True,Georgia u155.5 L,2026-01-24,-130,102,125,19.9,total,245.0,W,306
324,Grand ,False,Grand Canyon -3.5 L,2026-01-24,-120,-107,100,2.7,spread,490.0,W,490
