Group,Bucket,Bets,Wins,Win%,Staked,ExpProfit,Profit,ExpROI%,ROI%
Odds Band,-150 or less,14,9,64.3,30398,2367,1228,7.8,4
Odds Band,-150 to -100,94,56,59.6,112812,10910,-1896,9.7,-1.7
Odds Band,+100 to +150,363,188,51.8,247393,28187,21566,11.4,8.7
Odds Band,+150 or greater,99,31,31.3,42905,8442,-2310,19.7,-5.4
,,,,,,,,,
Edge Band,0-5%,23,13,56.5,27086,774,-5043,2.9,-18.6
Edge Band,5-10%,166,88,53,147068,12211,16183,8.3,11
Edge Band,10-15%,209,106,50.7,152996,18307,5058,12,3.3
Edge Band,15%+,141,62,44,84612,19394,6261,22.9,7.4
,,,,,,,,,
Bet Type,moneyline,148,66,44.6,113002,14561,14294,12.9,12.6
Bet Type,spread,237,119,50.2,217302,23902,4580,11,2.1
Bet Type,total,179,96,53.6,99720,11119,-511,11.2,-0.5
,,,,,,,,,
Grand Total,All,570,284,49.8,433510,49906,18588,11.5,4.3
,,,,,,,,,
,,,,,,,,,
Stake Band,0-500,155,70,45.2,42071,5637,4490,13.4,10.7
Stake Band,500-1000,107,52,48.6,73252,7904,12041,10.8,16.4
Stake Band,1000-2000,55,21,38.2,78409,10757,-3575,13.7,-4.6
Stake Band,2000+,55,21,38.2,239776,27048,5632,11.3,2.3
