,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore,CloseEdge,Trueline,Net,ExpWinPlace,Date,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
Chicago Bears +3.5 L,BBmb-ny,12/28/2025,165,-215,245,22.83%,6.62%,180.8730159,3.45,#REF!,Football,spread,San Francisco 49ers,,$153.00 ,$0.00 ,L,,,,,,$153.00 ,$34.93 ,12/28/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:28:23:13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bears ml L,BBmb-ny,12/28/2025,230,-275,280,11.11%,2.92%,242,3.8,#REF!,Football,moneyline,San Francisco 49ers,,$315.00 ,$0.00 ,L,,,,,,$315.00 ,$35.00 ,12/28/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:28:23:26:05,,,,,$226.00 ,$275.00 ,,,,,,,,,$198.00 ,"$3,500.00 ",$239.00 ,"$24,900.00 ",$230.00 ,$310.00 ,,,,,,,,,,,,,$185.00 ,$245.00 ,"$1,000.00 ","$1,000.00 ",$195.00 ,$260.00 ,,,,
Chicago Bears ml L,BBmb-ny,12/28/2025,140,-140,160,8.33%,3.21%,140,2.6,#REF!,Football,moneyline,San Francisco 49ers,,$535.00 ,$0.00 ,L,,,,,,$535.00 ,$44.58 ,12/28/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:28:23:28:27,,,,,$119.00 ,$140.00 ,,,,,,,,,$129.00 ,"$4,400.00 ",$154.00 ,"$5,100.00 ",$140.00 ,$180.00 ,,,,,,,,,,,,,,,"$1,000.00 ","$1,000.00 ",$124.00 ,$160.00 ,,,,
Los Angeles Rams u43.5 L,LVti,12/29/2025,-154,134,-110,11.98%,6.28%,-141.8740157,1.909,#REF!,NFL,total,Atlanta Falcons,"$2,200.00 ","$1,540.00 ","$1,540.00 ",L,,,,,,"$1,540.00 ",$184.49 ,12/29/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:29:21:01:24,,,,,$100.00 ,$118.00 ,,,,,,,,,$103.00 ,"$4,400.00 ",$116.00 ,$659.00 ,$104.00 ,$122.00 ,,,,,,,,,,,,,$111.00 ,$120.00 ,"$1,000.00 ","$1,000.00 ",$120.00 ,$154.00 ,,,,
Los Angeles Rams u43.5 L,TINGti,12/29/2025,-154,134,-110,11.98%,6.28%,-141.8740157,1.909,#REF!,NFL,total,Atlanta Falcons,"$2,200.00 ","$1,540.00 ","$1,540.00 ",L,,,,,,"$1,540.00 ",$184.49 ,12/29/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:29:21:01:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Falcons ml L,LVti,12/29/2025,-140,140,-115,9.06%,4.84%,-140,1.87,#REF!,NFL,moneyline,Los Angeles Rams,"$2,500.00 ","$1,750.00 ","$1,750.00 ",W,,,,,,"$1,521.74 ",$158.51 ,12/29/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:29:22:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons ml L,MBrb,12/29/2025,-160,160,-133,7.81%,4.46%,-160,1.752,#REF!,NFL,moneyline,Atlanta,"$5,000.00 ","$3,500.00 ","$3,500.00 ",W,,,,,,"$2,631.58 ",$273.28 ,12/29/2025 0:00,#REF!,#REF!,#REF!,#REF!,2025:12:29:22:56:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche -1.5 L,MBmb,1/3/2026,106,-124,125,5.12%,2.28%,114.0357143,2.25,#REF!,NHL,spread,Carolina Hurricanes,,"$3,750.00 ",$0.00 ,W,,,,,,"$4,687.50 ",$192.10 ,1/3/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:03:21:34:23,$102.00 ,"$3,000.00 ",$124.00 ,"$3,000.00 ",$106.00 ,$127.00 ,$317.00 ,$11.00 ,"$2,400.00 ",$24.00 ,,,,,,,,,$114.00 ,$114.00 ,$110.00 ,$115.00 ,$100.00 ,$130.00 ,$102.00 ,$150.00 ,$122.00 ,$166.00 ,$100.00 ,$119.00 ,$123.00 ,$132.00 ,$110.00 ,$120.00 ,,,,,,,,
Seahawks u23.5 L,MBmb,1/3/2026,-240,175,-125,18.80%,10.44%,-194.1176471,1.8,#REF!,NFL,total,49ers,,"$4,687.00 ",$0.00 ,W,,,,,,"$3,749.60 ",$881.16 ,1/3/2026 0:00,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco 49ers ml L,FDmb,1/3/2026,2300,-3450,5500,130.23%,2.33%,2332.394366,56,#REF!,Football,moneyline,Seattle Seahawks,,$15.00 ,$0.00 ,L,,,,,,$15.00 ,$19.53 ,1/3/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:03:22:32:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville Jaguars -7.5 L,MBmb,1/4/2026,-124,110,100,7.51%,3.76%,-116.25,2,#REF!,NFL,spread,Tennessee Titans,,"$7,500.00 ",$0.00 ,W,,,,,,"$7,500.00 ",$563.58 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:13:18:39,$139.00 ,"$3,000.00 ",$110.00 ,"$3,000.00 ",$124.00 ,$105.00 ,,,,,,,,,$137.00 ,$553.00 ,$105.00 ,$87.00 ,$138.00 ,$104.00 ,,,,,$139.00 ,"$4,200.00 ",$112.00 ,$223.00 ,$139.00 ,$291.00 ,$109.00 ,$237.00 ,,,,,$140.00 ,$105.00 ,,,,
Tennessee Titans u55.5 L,LVti,1/4/2026,-140,112,-120,1.37%,0.75%,-123.6666667,1.833,#REF!,NFL,total,Jacksonville Jaguars,"$1,200.00 ",$840.00 ,$840.00 ,W,,,,,,$700.00 ,$11.48 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:14:02:46,,,,,$140.00 ,$112.00 ,,,,,$141.00 ,$464.00 ,$111.00 ,$376.00 ,,,,,$162.00 ,$122.00 ,$120.00 ,$110.00 ,,,,,,,,,,,$147.00 ,$102.00 ,,,$140.00 ,$105.00 ,,,,
Atlanta Falcons 2h ml L,MBrb,1/4/2026,-136,126,-111,7.53%,3.96%,-130.2372881,1.901,#REF!,NFL,2h moneyline,New Orleans Saints,"$2,775.00 ","$1,942.50 ","$1,942.50 ",L,,,,,,"$1,942.50 ",$146.22 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:14:37:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay Packers +16.5 L,Mbmb,1/4/2026,-183,152,-105,20.99%,10.75%,-162.9540636,1.952,#REF!,NFL,spread,Minnesota Vikings,,"$9,400.00 ",$0.00 ,W,,,,,,"$8,952.38 ","$1,973.07 ",1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:14:56:29,,,,,$183.00 ,$126.00 ,,,,,,,,,,,,,$186.00 ,$138.00 ,$130.00 ,$105.00 ,,,,,,,,,,,,,,,$130.00 ,$100.00 ,,,,
Indianapolis Colts +1.5 L,LVti,1/4/2026,-138,113,-105,7.88%,4.04%,-123.5042017,1.952,#REF!,NFL,spread,Houston Texans,"$1,050.00 ",$735.00 ,$735.00 ,L,,,,,,$735.00 ,$57.95 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:15:03:48,$140.00 ,"$3,000.00 ",$111.00 ,"$3,000.00 ",$138.00 ,$113.00 ,,,,,,,,,,,,,$144.00 ,$108.00 ,$105.00 ,$125.00 ,$145.00 ,$110.00 ,$143.00 ,"$3,900.00 ",$112.00 ,"$3,100.00 ",,,,,$130.00 ,$100.00 ,,,$135.00 ,$100.00 ,,,,
Indianapolis Colts u62.5 L,MBrb,1/4/2026,-118,-102,105,6.06%,2.96%,-107.1955388,2.05,#REF!,NFL,total,Houston Texans,"$2,500.00 ","$1,750.00 ","$1,750.00 ",L,,,,,,"$1,750.00 ",$106.04 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:15:44:38,,,,,$118.00 ,$103.00 ,"$9,900.00 ",$93.00 ,"$9,900.00 ",$68.00 ,,,,,,,,,$130.00 ,$102.00 ,$130.00 ,$105.00 ,,,,,,,,,,,,,,,$120.00 ,$110.00 ,,,,
Indianapolis Colts u62.5 L,MBmb,1/4/2026,-144,104,-105,6.65%,3.41%,-120.3934426,1.952,#REF!,NFL,total,Houston Texans,,"$4,950.00 ",$0.00 ,L,,,,,,"$4,950.00 ",$329.27 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:15:50:02,,,,,$144.00 ,$104.00 ,"$4,900.00 ",$23.00 ,"$9,900.00 ",$68.00 ,,,,,,,,,$146.00 ,$110.00 ,$145.00 ,$110.00 ,,,,,,,,,,,,,,,$130.00 ,$100.00 ,,,,
Kansas City Chiefs u33.5 L,MBrb,1/4/2026,-145,115,-105,9.32%,4.78%,-127.244898,1.952,#REF!,NFL,total,Las Vegas Raiders,"$3,400.00 ","$2,380.00 ","$2,380.00 ",W,,,,,,"$2,266.67 ",$221.88 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:16:42:33,$145.00 ,"$3,300.00 ",$115.00 ,"$3,300.00 ",$149.00 ,$115.00 ,,,,,,,,,,,,,$152.00 ,$114.00 ,,,,,,,,,$149.00 ,$492.00 ,$112.00 ,$397.00 ,,,,,$135.00 ,$100.00 ,,,,
Arizona Cardinals o43.5 L,LVti,1/4/2026,-144,118,-115,5.19%,2.78%,-128.6557377,1.87,#REF!,NFL,total,Los Angeles Rams,"$2,300.00 ","$1,610.00 ","$1,610.00 ",W,,,,,,"$1,400.00 ",$83.61 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:17:06:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals o43.5 L,TINGti,1/4/2026,-144,118,-115,5.19%,2.78%,-128.6557377,1.87,#REF!,NFL,total,Los Angeles Rams,"$1,150.00 ",$805.00 ,$805.00 ,W,,,,,,$700.00 ,$41.81 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:17:06:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Rams -14.5 L,MBmb,1/4/2026,-136,110,100,9.51%,4.75%,-121.0169492,2,#REF!,NFL,spread,Arizona Cardinals,,"$5,000.00 ",$0.00 ,W,,,,,,"$5,000.00 ",$475.46 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:17:42:02,,,,,$152.00 ,$110.00 ,$170.00 ,$17.00 ,$138.00 ,"$1,700.00 ",$138.00 ,"$2,200.00 ",$106.00 ,"$1,800.00 ",$126.00 ,$324.00 ,$103.00 ,"$4,200.00 ",$136.00 ,$102.00 ,,,,,,,,,,,,,,,,,$145.00 ,$105.00 ,,,,
Kansas City Chiefs u25.5 L,MBmb,1/4/2026,-205,158,-125,14.16%,7.87%,-173.4098361,1.8,#REF!,NFL,total,Las Vegas Raiders,,"$6,100.00 ",$0.00 ,L,,,,,,"$6,100.00 ",$864.05 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:11:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals o48.5 L,LVti,1/4/2026,-210,140,-115,15.76%,8.43%,-162.5806452,1.87,#REF!,NFL,total,Los Angeles Rams,"$1,150.00 ",$805.00 ,$805.00 ,W,,,,,,$700.00 ,$126.84 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:23:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals o48.5 L,TINGti,1/4/2026,-210,140,-115,15.76%,8.43%,-162.5806452,1.87,#REF!,NFL,total,Los Angeles Rams,"$1,150.00 ",$805.00 ,$805.00 ,W,,,,,,$700.00 ,$126.84 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals o48.5 L,LVti,1/4/2026,-320,225,-115,33.17%,17.74%,-247.6190476,1.87,#REF!,NFL,total,Los Angeles Rams,"$5,100.00 ","$3,570.00 ","$3,570.00 ",W,,,,,,"$3,104.35 ","$1,184.33 ",1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals o48.5 L,TINGti,1/4/2026,-320,225,-115,33.17%,17.74%,-247.6190476,1.87,#REF!,NFL,total,Los Angeles Rams,$311.00 ,$217.70 ,$217.70 ,W,,,,,,$189.30 ,$72.22 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:23:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Jets u36.5 L,MBmb,1/4/2026,-154,138,-125,6.32%,3.51%,-144.2992126,1.8,#REF!,NFL,total,Buffalo Bills,,"$5,000.00 ",$0.00 ,L,,,,,,"$5,000.00 ",$315.99 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:39:12,,,,,$170.00 ,$138.00 ,,,,,,,,,$142.00 ,"$1,200.00 ",$109.00 ,$216.00 ,$178.00 ,$132.00 ,,,,,,,$125.00 ,$133.00 ,,,,,$180.00 ,$121.00 ,,,$154.00 ,$120.00 ,,,,
Las Vegas Raiders ml L,MBmb,1/4/2026,-322,285,-220,8.52%,5.85%,-293.7677725,1.455,#REF!,NFL,moneyline,Kansas City Chiefs,,"$7,500.00 ",$0.00 ,W,,,,,,"$3,409.09 ",$638.65 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:59:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Patriots -28.5 L,FDmb,1/4/2026,210,-280,360,40.06%,8.71%,228.4210526,4.6,#REF!,Football,spread,Miami Dolphins,,$135.00 ,$0.00 ,L,,,,,,$135.00 ,$54.09 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:19:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
